message,severity,attributes,tags,timestamp
	at org.apache.catalina.core.ApplicationFilterChain.doFilter(ApplicationFilterChain.java:140) ~[tomcat-embed-core-10.1.31.jar!/:na],info,"{""level"":""info""}","{""project"":""4c477be5-c4d9-454e-8178-da70b4161364"",""environment"":""5b32e0d8-764c-4be7-9635-d26d34ee1f47"",""service"":""90b89084-117d-4c09-a7ae-f50e71167b20"",""deployment"":""193f4a73-a84b-484c-b550-dd77da0b66af"",""replica"":""3b8953d6-695c-4405-9806-4478e303782b""}",2026-04-27T10:33:30.137080180Z
	at org.apache.tomcat.websocket.server.WsFilter.doFilter(WsFilter.java:51) ~[tomcat-embed-websocket-10.1.31.jar!/:na],info,"{""level"":""info""}","{""project"":""4c477be5-c4d9-454e-8178-da70b4161364"",""environment"":""5b32e0d8-764c-4be7-9635-d26d34ee1f47"",""service"":""90b89084-117d-4c09-a7ae-f50e71167b20"",""deployment"":""193f4a73-a84b-484c-b550-dd77da0b66af"",""replica"":""3b8953d6-695c-4405-9806-4478e303782b""}",2026-04-27T10:33:30.137085228Z
	at org.apache.catalina.core.ApplicationFilterChain.internalDoFilter(ApplicationFilterChain.java:164) ~[tomcat-embed-core-10.1.31.jar!/:na],info,"{""level"":""info""}","{""project"":""4c477be5-c4d9-454e-8178-da70b4161364"",""environment"":""5b32e0d8-764c-4be7-9635-d26d34ee1f47"",""service"":""90b89084-117d-4c09-a7ae-f50e71167b20"",""deployment"":""193f4a73-a84b-484c-b550-dd77da0b66af"",""replica"":""3b8953d6-695c-4405-9806-4478e303782b""}",2026-04-27T10:33:30.137090016Z
	at org.apache.catalina.core.ApplicationFilterChain.doFilter(ApplicationFilterChain.java:140) ~[tomcat-embed-core-10.1.31.jar!/:na],info,"{""level"":""info""}","{""project"":""4c477be5-c4d9-454e-8178-da70b4161364"",""environment"":""5b32e0d8-764c-4be7-9635-d26d34ee1f47"",""service"":""90b89084-117d-4c09-a7ae-f50e71167b20"",""deployment"":""193f4a73-a84b-484c-b550-dd77da0b66af"",""replica"":""3b8953d6-695c-4405-9806-4478e303782b""}",2026-04-27T10:33:30.137094827Z
	at org.springframework.web.filter.OncePerRequestFilter.doFilter(OncePerRequestFilter.java:110) ~[spring-web-6.1.14.jar!/:6.1.14],info,"{""level"":""info""}","{""project"":""4c477be5-c4d9-454e-8178-da70b4161364"",""environment"":""5b32e0d8-764c-4be7-9635-d26d34ee1f47"",""service"":""90b89084-117d-4c09-a7ae-f50e71167b20"",""deployment"":""193f4a73-a84b-484c-b550-dd77da0b66af"",""replica"":""3b8953d6-695c-4405-9806-4478e303782b""}",2026-04-27T10:33:30.137099317Z
	at org.apache.catalina.core.ApplicationFilterChain.internalDoFilter(ApplicationFilterChain.java:164) ~[tomcat-embed-core-10.1.31.jar!/:na],info,"{""level"":""info""}","{""project"":""4c477be5-c4d9-454e-8178-da70b4161364"",""environment"":""5b32e0d8-764c-4be7-9635-d26d34ee1f47"",""service"":""90b89084-117d-4c09-a7ae-f50e71167b20"",""deployment"":""193f4a73-a84b-484c-b550-dd77da0b66af"",""replica"":""3b8953d6-695c-4405-9806-4478e303782b""}",2026-04-27T10:33:30.137103798Z
	at org.apache.catalina.core.ApplicationFilterChain.doFilter(ApplicationFilterChain.java:140) ~[tomcat-embed-core-10.1.31.jar!/:na],info,"{""level"":""info""}","{""project"":""4c477be5-c4d9-454e-8178-da70b4161364"",""environment"":""5b32e0d8-764c-4be7-9635-d26d34ee1f47"",""service"":""90b89084-117d-4c09-a7ae-f50e71167b20"",""deployment"":""193f4a73-a84b-484c-b550-dd77da0b66af"",""replica"":""3b8953d6-695c-4405-9806-4478e303782b""}",2026-04-27T10:33:30.137108456Z
	at org.springframework.web.filter.CompositeFilter$VirtualFilterChain.doFilter(CompositeFilter.java:108) ~[spring-web-6.1.14.jar!/:6.1.14],info,"{""level"":""info""}","{""project"":""4c477be5-c4d9-454e-8178-da70b4161364"",""environment"":""5b32e0d8-764c-4be7-9635-d26d34ee1f47"",""service"":""90b89084-117d-4c09-a7ae-f50e71167b20"",""deployment"":""193f4a73-a84b-484c-b550-dd77da0b66af"",""replica"":""3b8953d6-695c-4405-9806-4478e303782b""}",2026-04-27T10:33:30.137112511Z
	at org.springframework.security.web.FilterChainProxy.lambda$doFilterInternal$3(FilterChainProxy.java:231) ~[spring-security-web-6.3.4.jar!/:6.3.4],info,"{""level"":""info""}","{""project"":""4c477be5-c4d9-454e-8178-da70b4161364"",""environment"":""5b32e0d8-764c-4be7-9635-d26d34ee1f47"",""service"":""90b89084-117d-4c09-a7ae-f50e71167b20"",""deployment"":""193f4a73-a84b-484c-b550-dd77da0b66af"",""replica"":""3b8953d6-695c-4405-9806-4478e303782b""}",2026-04-27T10:33:30.137116566Z
	at org.springframework.security.web.ObservationFilterChainDecorator$FilterObservation$SimpleFilterObservation.lambda$wrap$1(ObservationFilterChainDecorator.java:479) ~[spring-security-web-6.3.4.jar!/:6.3.4],info,"{""level"":""info""}","{""project"":""4c477be5-c4d9-454e-8178-da70b4161364"",""environment"":""5b32e0d8-764c-4be7-9635-d26d34ee1f47"",""service"":""90b89084-117d-4c09-a7ae-f50e71167b20"",""deployment"":""193f4a73-a84b-484c-b550-dd77da0b66af"",""replica"":""3b8953d6-695c-4405-9806-4478e303782b""}",2026-04-27T10:33:30.138853922Z
